id,nft_rank,rarity score new,img_url,is_one_of_one,background,mushroom,skin,clothes,mouth,eyes,item,head,accessory,trait_count
6615,3613,157.93,https://images-z0f854-arb.s3.us-west-2.amazonaws.com/0x09cae384c6626102abe47ff50588a1dbe8432174_6615/image.svg,No,Sky,Brown,Dark Green,None,O,Hearts,None,Bandana - Red,None,3
1085,3614,157.92,https://images-z0f854-arb.s3.us-west-2.amazonaws.com/0x09cae384c6626102abe47ff50588a1dbe8432174_1085/image.svg,No,Purple,Grey,Dark Green,T-shirt - Camo,Tongue,Stoned,None,Wizard Hat - Brown,None,4
8146,3615,157.90,https://images-z0f854-arb.s3.us-west-2.amazonaws.com/0x09cae384c6626102abe47ff50588a1dbe8432174_8146/image.svg,No,Watermelon,Brown,OG Green,Hoodie - White,Rainbow Vom,Right Up,None,Mohawk - Purple,None,4
7523,3616,157.84,https://images-z0f854-arb.s3.us-west-2.amazonaws.com/0x09cae384c6626102abe47ff50588a1dbe8432174_7523/image.svg,No,Purple,Orange,Grey,T-shirt - Skull,Pipe,Right Up,Ice Sword,Brain,None,5
438,3617,157.81,https://images-z0f854-arb.s3.us-west-2.amazonaws.com/0x09cae384c6626102abe47ff50588a1dbe8432174_438/image.svg,No,Swamp,Yellow,Blue,Hoodie - Camo,Laugh - Teeth,Wide Down,None,Beanie - Yellow,None,4
2737,3618,157.81,https://images-z0f854-arb.s3.us-west-2.amazonaws.com/0x09cae384c6626102abe47ff50588a1dbe8432174_2737/image.svg,No,Brown,Common,Brown,T-shirt - Rocket - Blue,Pipe,Lasers,None,Beanie - Grey,Flies,5
2662,3619,157.78,https://images-z0f854-arb.s3.us-west-2.amazonaws.com/0x09cae384c6626102abe47ff50588a1dbe8432174_2662/image.svg,No,Red,Orange,Dark Green,Hoodie - Light Blue,O,Eye Patch - Right,Ice Sword,None,None,4
7556,3620,157.78,https://images-z0f854-arb.s3.us-west-2.amazonaws.com/0x09cae384c6626102abe47ff50588a1dbe8432174_7556/image.svg,No,Sunrise,Red - Spots,Orange,Hoodie - Light Blue,Smile Big,Eye Patch - Right,None,Pirate Hat,None,4
6689,3621,157.78,https://images-z0f854-arb.s3.us-west-2.amazonaws.com/0x09cae384c6626102abe47ff50588a1dbe8432174_6689/image.svg,No,Yellow,Green,Dark Green,None,Smile Big,Wide Down,None,Top Hat,None,3
7377,3622,157.77,https://images-z0f854-arb.s3.us-west-2.amazonaws.com/0x09cae384c6626102abe47ff50588a1dbe8432174_7377/image.svg,No,Sky Blue,Brown,OG Green,T-shirt - Rocket - Blue,Small Gasp,Eye Patch Bored - Right,None,Mohawk - Purple,None,4
3386,3623,157.76,https://images-z0f854-arb.s3.us-west-2.amazonaws.com/0x09cae384c6626102abe47ff50588a1dbe8432174_3386/image.svg,No,Sky,Common,Brown,Farmer,Laugh,Wide Up,None,Beanie - Blue,None,4
7709,3624,157.75,https://images-z0f854-arb.s3.us-west-2.amazonaws.com/0x09cae384c6626102abe47ff50588a1dbe8432174_7709/image.svg,No,Sky,Blue,Dark Green,T-shirt - Rainbow,Laugh - Teeth,Stoned,None,Beanie - Blue,None,4
8094,3625,157.74,https://images-z0f854-arb.s3.us-west-2.amazonaws.com/0x09cae384c6626102abe47ff50588a1dbe8432174_8094/image.svg,No,Orange,Common,Orange,Turtleneck - Grey,Small Gasp,Glasses - Sun,None,Top Hat,None,4
772,3626,157.73,https://images-z0f854-arb.s3.us-west-2.amazonaws.com/0x09cae384c6626102abe47ff50588a1dbe8432174_772/image.svg,No,Orange,Orange,Dark Green,T-shirt - Fly - Red,Laugh - Teeth,Glasses - Sun,Wand Right,None,None,4
8833,3627,157.73,https://images-z0f854-arb.s3.us-west-2.amazonaws.com/0x09cae384c6626102abe47ff50588a1dbe8432174_8833/image.svg,No,Swamp,Grey,Brown,T-shirt - Heart - Pink,Laugh,Right Up,None,Wizard Hat - Brown,None,4
5031,3628,157.66,https://images-z0f854-arb.s3.us-west-2.amazonaws.com/0x09cae384c6626102abe47ff50588a1dbe8432174_5031/image.svg,No,Spring,Red - Spots,Grey,T-shirt - Heart - Pink,Small Gasp,Tired,None,Cap - Red,None,4
1280,3629,157.63,https://images-z0f854-arb.s3.us-west-2.amazonaws.com/0x09cae384c6626102abe47ff50588a1dbe8432174_1280/image.svg,No,Spring,Yellow,Orange,Hoodie - Dark Blue,Pipe,Glasses - 3D,None,None,None,3
117,3630,157.60,https://images-z0f854-arb.s3.us-west-2.amazonaws.com/0x09cae384c6626102abe47ff50588a1dbe8432174_117/image.svg,No,Pink,Brown,Blue,Astronaut,Laugh - Teeth,Tired,None,Back Cap - Blue,Flies,5
7169,3631,157.60,https://images-z0f854-arb.s3.us-west-2.amazonaws.com/0x09cae384c6626102abe47ff50588a1dbe8432174_7169/image.svg,No,Green,Brown,OG Green,T-shirt - Fly - Grey,O,Bored,Ice Sword,Bandana - Red,None,5
4809,3632,157.59,https://images-z0f854-arb.s3.us-west-2.amazonaws.com/0x09cae384c6626102abe47ff50588a1dbe8432174_4809/image.svg,No,Orange,Common,Purple,Overalls - Red,Smile,Contentful,None,Beanie - Grey,None,4
2115,3633,157.57,https://images-z0f854-arb.s3.us-west-2.amazonaws.com/0x09cae384c6626102abe47ff50588a1dbe8432174_2115/image.svg,No,Orange,Brown,Dark Green,Hoodie - Pink,Gasp,Stoned,None,Cap - Brown,None,4
2575,3634,157.54,https://images-z0f854-arb.s3.us-west-2.amazonaws.com/0x09cae384c6626102abe47ff50588a1dbe8432174_2575/image.svg,No,Red,Common,OG Green,Suit - Red,Pipe,Eye Roll,None,None,None,3
2951,3635,157.54,https://images-z0f854-arb.s3.us-west-2.amazonaws.com/0x09cae384c6626102abe47ff50588a1dbe8432174_2951/image.svg,No,Grey,Common,Blue,Hawaiian Shirt,O,Tired,None,Pirate Hat,None,4
1943,3636,157.52,https://images-z0f854-arb.s3.us-west-2.amazonaws.com/0x09cae384c6626102abe47ff50588a1dbe8432174_1943/image.svg,No,Mint,Brown,Blue,Hoodie - Grey,Laugh,Wide Up,Lightsaber - Red,Back Cap - White,None,5
